,F Value,Num DF,Den DF,Pr > F
Clase,14.998392095103702,1.0,7.0,0.006109728961529974
Sesión,4.772234461514569,1.0,7.0,0.06520179313013956
Banda,1.0819925841463307,1.0,7.0,0.3328406722055722
Período,4.351627375251249,1.0,7.0,0.07540793020765414
Clase:Sesión,0.6506191830642879,1.0,7.0,0.44642605299908006
Clase:Banda,0.31822647777176566,1.0,7.0,0.5902835079901841
Sesión:Banda,0.023511117517812555,1.0,7.0,0.8824620151768557
Clase:Período,0.17301438154327206,1.0,7.0,0.6899023687225194
Sesión:Período,0.33929175444762305,1.0,7.0,0.5785095688186939
Banda:Período,0.5723513783138798,1.0,7.0,0.4740135356342831
Clase:Sesión:Banda,1.0592164233721324,1.0,7.0,0.3376368838770021
Clase:Sesión:Período,0.020589267460019045,1.0,7.0,0.8899468464159469
Clase:Banda:Período,1.0787129156065591,1.0,7.0,0.33352485067144133
Sesión:Banda:Período,0.1502167836291565,1.0,7.0,0.7098436686129799
Clase:Sesión:Banda:Período,0.4659040190053812,1.0,7.0,0.516821770197933
