,F Value,Num DF,Den DF,Pr > F
Clase,10.312353396232968,1.0,7.0,0.014831601581237398
Sesión,4.123053214657589,1.0,7.0,0.08184870715225954
Banda,9.190240141905983,1.0,7.0,0.01907308826500154
Período,1.6320249077459095,1.0,7.0,0.24215832587201433
Clase:Sesión,0.04756795073839656,1.0,7.0,0.8335723425093355
Clase:Banda,0.08242507442245942,1.0,7.0,0.7823500642267587
Sesión:Banda,1.502673339630675,1.0,7.0,0.2598966032502475
Clase:Período,3.445330992364539,1.0,7.0,0.10580617375875918
Sesión:Período,0.185849971063346,1.0,7.0,0.6793578098956822
Banda:Período,0.9260030366347947,1.0,7.0,0.36795867939070853
Clase:Sesión:Banda,0.26462731759600133,1.0,7.0,0.6227970650972312
Clase:Sesión:Período,0.04889473696791686,1.0,7.0,0.8313094205522024
Clase:Banda:Período,0.7042685375340855,1.0,7.0,0.42907813319660665
Sesión:Banda:Período,0.3414189191812591,1.0,7.0,0.5773486270332397
Clase:Sesión:Banda:Período,0.4176872615052945,1.0,7.0,0.5386967583668001
