Sujeto,Sesión,Clase,ERDS%,Banda,Tipo,Período,latencias
1,ejecutada,izquierda,-16.59,mu,min,task,1.71
2,ejecutada,izquierda,-4.46,mu,min,task,0.27
4,ejecutada,izquierda,-20.88,mu,min,task,0.01
5,ejecutada,izquierda,-4.15,mu,min,task,1.65
6,ejecutada,izquierda,-32.02,mu,min,task,0.46
7,ejecutada,izquierda,-14.08,mu,min,task,0.57
8,ejecutada,izquierda,-6.62,mu,min,task,0.33
9,ejecutada,izquierda,-36.71,mu,min,task,0.34
1,ejecutada,derecha,-18.7,mu,min,task,1.77
2,ejecutada,derecha,-4.24,mu,min,task,0.23
4,ejecutada,derecha,-18.66,mu,min,task,1.53
5,ejecutada,derecha,-4.27,mu,min,task,0.24
6,ejecutada,derecha,-28.44,mu,min,task,0.36
7,ejecutada,derecha,-10.67,mu,min,task,0.28
8,ejecutada,derecha,2.47,mu,min,task,0.29
9,ejecutada,derecha,-9.66,mu,min,task,0.4
1,imaginada,izquierda,-18.14,mu,min,task,2.0
2,imaginada,izquierda,-37.44,mu,min,task,0.63
4,imaginada,izquierda,-19.41,mu,min,task,0.04
5,imaginada,izquierda,-10.01,mu,min,task,0.47
6,imaginada,izquierda,-47.16,mu,min,task,0.59
7,imaginada,izquierda,-12.92,mu,min,task,1.73
8,imaginada,izquierda,-7.25,mu,min,task,1.95
9,imaginada,izquierda,-28.77,mu,min,task,0.65
1,imaginada,derecha,-25.48,mu,min,task,1.45
2,imaginada,derecha,-4.0,mu,min,task,0.85
4,imaginada,derecha,-10.44,mu,min,task,0.04
5,imaginada,derecha,-3.3,mu,min,task,1.51
6,imaginada,derecha,-39.4,mu,min,task,1.12
7,imaginada,derecha,-18.56,mu,min,task,0.4
8,imaginada,derecha,-1.27,mu,min,task,1.96
9,imaginada,derecha,-18.92,mu,min,task,0.73
1,ejecutada,izquierda,-15.08,mu,min,postask,2.51
2,ejecutada,izquierda,-9.96,mu,min,postask,3.62
4,ejecutada,izquierda,-17.1,mu,min,postask,3.42
5,ejecutada,izquierda,-1.11,mu,min,postask,2.95
6,ejecutada,izquierda,-39.22,mu,min,postask,2.78
7,ejecutada,izquierda,-9.17,mu,min,postask,2.52
8,ejecutada,izquierda,-14.88,mu,min,postask,2.53
9,ejecutada,izquierda,-26.71,mu,min,postask,2.05
1,ejecutada,derecha,-16.63,mu,min,postask,2.48
2,ejecutada,derecha,12.29,mu,min,postask,2.79
4,ejecutada,derecha,-0.09,mu,min,postask,2.2
5,ejecutada,derecha,3.12,mu,min,postask,2.08
6,ejecutada,derecha,-39.73,mu,min,postask,2.87
7,ejecutada,derecha,-11.64,mu,min,postask,2.51
8,ejecutada,derecha,3.33,mu,min,postask,3.2
9,ejecutada,derecha,-4.1,mu,min,postask,2.29
1,imaginada,izquierda,-27.52,mu,min,postask,3.38
2,imaginada,izquierda,-33.41,mu,min,postask,3.23
4,imaginada,izquierda,-17.99,mu,min,postask,2.68
5,imaginada,izquierda,-17.1,mu,min,postask,2.68
6,imaginada,izquierda,-43.8,mu,min,postask,2.0
7,imaginada,izquierda,-5.77,mu,min,postask,3.32
8,imaginada,izquierda,-8.7,mu,min,postask,2.28
9,imaginada,izquierda,-23.56,mu,min,postask,2.04
1,imaginada,derecha,-25.78,mu,min,postask,2.11
2,imaginada,derecha,12.86,mu,min,postask,3.45
4,imaginada,derecha,8.92,mu,min,postask,2.81
5,imaginada,derecha,-4.84,mu,min,postask,2.22
6,imaginada,derecha,-35.89,mu,min,postask,3.3
7,imaginada,derecha,-14.58,mu,min,postask,2.23
8,imaginada,derecha,-9.63,mu,min,postask,3.35
9,imaginada,derecha,-16.02,mu,min,postask,2.0
1,ejecutada,izquierda,-5.85,mu,max,task,0.04
2,ejecutada,izquierda,17.77,mu,max,task,1.46
4,ejecutada,izquierda,-6.5,mu,max,task,1.07
5,ejecutada,izquierda,17.3,mu,max,task,0.01
6,ejecutada,izquierda,-11.64,mu,max,task,0.0
7,ejecutada,izquierda,8.0,mu,max,task,0.04
8,ejecutada,izquierda,20.45,mu,max,task,1.86
9,ejecutada,izquierda,-16.38,mu,max,task,1.7
1,ejecutada,derecha,-0.99,mu,max,task,0.69
2,ejecutada,derecha,28.79,mu,max,task,1.15
4,ejecutada,derecha,3.36,mu,max,task,0.4
5,ejecutada,derecha,12.61,mu,max,task,1.38
6,ejecutada,derecha,-12.02,mu,max,task,1.61
7,ejecutada,derecha,15.36,mu,max,task,1.48
8,ejecutada,derecha,45.12,mu,max,task,1.28
9,ejecutada,derecha,14.14,mu,max,task,1.54
1,imaginada,izquierda,9.54,mu,max,task,0.41
2,imaginada,izquierda,-13.94,mu,max,task,1.69
4,imaginada,izquierda,5.32,mu,max,task,1.79
5,imaginada,izquierda,-1.34,mu,max,task,0.0
6,imaginada,izquierda,-30.01,mu,max,task,0.0
7,imaginada,izquierda,5.02,mu,max,task,0.0
8,imaginada,izquierda,3.03,mu,max,task,1.31
9,imaginada,izquierda,-2.43,mu,max,task,0.0
1,imaginada,derecha,-2.45,mu,max,task,0.2
2,imaginada,derecha,36.8,mu,max,task,2.0
4,imaginada,derecha,36.19,mu,max,task,0.85
5,imaginada,derecha,16.07,mu,max,task,0.01
6,imaginada,derecha,-10.16,mu,max,task,1.86
7,imaginada,derecha,-7.15,mu,max,task,1.71
8,imaginada,derecha,21.08,mu,max,task,0.0
9,imaginada,derecha,4.76,mu,max,task,0.0
1,ejecutada,izquierda,5.03,mu,max,postask,3.75
2,ejecutada,izquierda,13.45,mu,max,postask,2.02
4,ejecutada,izquierda,-1.87,mu,max,postask,3.92
5,ejecutada,izquierda,17.99,mu,max,postask,3.43
6,ejecutada,izquierda,10.92,mu,max,postask,3.83
7,ejecutada,izquierda,9.05,mu,max,postask,2.13
8,ejecutada,izquierda,14.39,mu,max,postask,2.0
9,ejecutada,izquierda,13.18,mu,max,postask,3.65
1,ejecutada,derecha,18.05,mu,max,postask,3.85
2,ejecutada,derecha,32.94,mu,max,postask,3.33
4,ejecutada,derecha,14.37,mu,max,postask,3.38
5,ejecutada,derecha,21.37,mu,max,postask,3.83
6,ejecutada,derecha,-10.69,mu,max,postask,4.0
7,ejecutada,derecha,12.51,mu,max,postask,3.84
8,ejecutada,derecha,31.86,mu,max,postask,2.22
9,ejecutada,derecha,12.58,mu,max,postask,3.82
1,imaginada,izquierda,5.08,mu,max,postask,4.0
2,imaginada,izquierda,-8.75,mu,max,postask,4.0
4,imaginada,izquierda,11.0,mu,max,postask,3.18
5,imaginada,izquierda,3.62,mu,max,postask,4.0
6,imaginada,izquierda,-14.49,mu,max,postask,4.0
7,imaginada,izquierda,5.59,mu,max,postask,2.62
8,imaginada,izquierda,3.9,mu,max,postask,3.26
9,imaginada,izquierda,-1.67,mu,max,postask,3.69
1,imaginada,derecha,0.72,mu,max,postask,4.0
2,imaginada,derecha,37.81,mu,max,postask,2.05
4,imaginada,derecha,24.64,mu,max,postask,3.41
5,imaginada,derecha,22.94,mu,max,postask,2.81
6,imaginada,derecha,-6.59,mu,max,postask,4.0
7,imaginada,derecha,11.25,mu,max,postask,3.83
8,imaginada,derecha,13.61,mu,max,postask,3.96
9,imaginada,derecha,15.19,mu,max,postask,3.83
1,ejecutada,izquierda,-12.81,beta,min,task,0.2
2,ejecutada,izquierda,-6.67,beta,min,task,1.28
4,ejecutada,izquierda,-16.89,beta,min,task,0.75
5,ejecutada,izquierda,-3.74,beta,min,task,1.87
6,ejecutada,izquierda,-33.99,beta,min,task,1.88
7,ejecutada,izquierda,-9.41,beta,min,task,1.4
8,ejecutada,izquierda,-5.61,beta,min,task,0.02
9,ejecutada,izquierda,-31.18,beta,min,task,0.31
1,ejecutada,derecha,-11.73,beta,min,task,0.98
2,ejecutada,derecha,4.35,beta,min,task,1.7
4,ejecutada,derecha,-9.62,beta,min,task,1.24
5,ejecutada,derecha,5.51,beta,min,task,0.81
6,ejecutada,derecha,-30.94,beta,min,task,2.0
7,ejecutada,derecha,3.71,beta,min,task,0.07
8,ejecutada,derecha,-4.57,beta,min,task,0.0
9,ejecutada,derecha,-15.69,beta,min,task,0.27
1,imaginada,izquierda,-20.08,beta,min,task,1.44
2,imaginada,izquierda,-25.29,beta,min,task,0.04
4,imaginada,izquierda,-12.15,beta,min,task,1.04
5,imaginada,izquierda,-6.72,beta,min,task,0.73
6,imaginada,izquierda,-32.11,beta,min,task,1.4
7,imaginada,izquierda,-6.6,beta,min,task,0.06
8,imaginada,izquierda,-0.21,beta,min,task,0.0
9,imaginada,izquierda,-29.77,beta,min,task,0.33
1,imaginada,derecha,-10.46,beta,min,task,1.97
2,imaginada,derecha,-0.88,beta,min,task,0.82
4,imaginada,derecha,-2.41,beta,min,task,0.48
5,imaginada,derecha,-7.38,beta,min,task,1.81
6,imaginada,derecha,-29.27,beta,min,task,0.6
7,imaginada,derecha,-7.06,beta,min,task,0.26
8,imaginada,derecha,-0.01,beta,min,task,0.1
9,imaginada,derecha,-23.01,beta,min,task,1.2
1,ejecutada,izquierda,-8.9,beta,min,postask,2.0
2,ejecutada,izquierda,-11.19,beta,min,postask,2.38
4,ejecutada,izquierda,-15.76,beta,min,postask,2.0
5,ejecutada,izquierda,-4.2,beta,min,postask,2.11
6,ejecutada,izquierda,-35.81,beta,min,postask,2.25
7,ejecutada,izquierda,-12.15,beta,min,postask,2.75
8,ejecutada,izquierda,0.19,beta,min,postask,2.52
9,ejecutada,izquierda,-24.83,beta,min,postask,2.06
1,ejecutada,derecha,-10.74,beta,min,postask,2.16
2,ejecutada,derecha,5.88,beta,min,postask,2.0
4,ejecutada,derecha,-3.51,beta,min,postask,2.46
5,ejecutada,derecha,2.68,beta,min,postask,2.7
6,ejecutada,derecha,-32.18,beta,min,postask,2.04
7,ejecutada,derecha,-0.73,beta,min,postask,3.24
8,ejecutada,derecha,-4.39,beta,min,postask,3.11
9,ejecutada,derecha,-2.08,beta,min,postask,2.05
1,imaginada,izquierda,-25.78,beta,min,postask,2.29
2,imaginada,izquierda,-25.48,beta,min,postask,2.23
4,imaginada,izquierda,-16.87,beta,min,postask,2.84
5,imaginada,izquierda,-6.36,beta,min,postask,2.38
6,imaginada,izquierda,-29.71,beta,min,postask,3.47
7,imaginada,izquierda,-9.38,beta,min,postask,3.31
8,imaginada,izquierda,-3.8,beta,min,postask,2.81
9,imaginada,izquierda,-26.19,beta,min,postask,2.0
1,imaginada,derecha,-13.33,beta,min,postask,3.51
2,imaginada,derecha,-9.63,beta,min,postask,3.28
4,imaginada,derecha,0.03,beta,min,postask,2.0
5,imaginada,derecha,-3.43,beta,min,postask,3.62
6,imaginada,derecha,-24.08,beta,min,postask,3.25
7,imaginada,derecha,0.49,beta,min,postask,2.26
8,imaginada,derecha,-7.33,beta,min,postask,3.2
9,imaginada,derecha,-15.77,beta,min,postask,2.25
1,ejecutada,izquierda,1.78,beta,max,task,0.71
2,ejecutada,izquierda,16.94,beta,max,task,0.54
4,ejecutada,izquierda,7.4,beta,max,task,0.25
5,ejecutada,izquierda,8.55,beta,max,task,0.55
6,ejecutada,izquierda,-22.1,beta,max,task,0.0
7,ejecutada,izquierda,4.19,beta,max,task,0.08
8,ejecutada,izquierda,18.53,beta,max,task,1.82
9,ejecutada,izquierda,-20.27,beta,max,task,1.61
1,ejecutada,derecha,4.17,beta,max,task,0.47
2,ejecutada,derecha,23.38,beta,max,task,0.64
4,ejecutada,derecha,20.38,beta,max,task,0.13
5,ejecutada,derecha,12.69,beta,max,task,1.68
6,ejecutada,derecha,-17.83,beta,max,task,0.0
7,ejecutada,derecha,16.28,beta,max,task,0.62
8,ejecutada,derecha,19.91,beta,max,task,1.97
9,ejecutada,derecha,5.2,beta,max,task,1.93
1,imaginada,izquierda,-4.64,beta,max,task,0.44
2,imaginada,izquierda,-14.47,beta,max,task,1.05
4,imaginada,izquierda,6.56,beta,max,task,0.05
