sesion,clase,sujeto,mu_min_task,mu_min_lat_task,mu_max_task,mu_max_lat_task,mu_min_postask,mu_min_lat_postask,mu_max_postask,mu_max_lat_postask,beta_min_task,beta_min_lat_task,beta_max_task,beta_max_lat_task,beta_min_postask,beta_min_lat_postask,beta_max_postask,beta_max_lat_postask
ejecutada,izquierda,1,-16.59,1.71,-5.85,0.04,-15.08,2.51,5.03,3.75,-12.81,0.2,1.78,0.71,-8.9,2,5.39,3.48
ejecutada,izquierda,2,-4.46,0.27,17.77,1.46,-9.96,3.62,13.45,2.02,-6.67,1.28,16.94,0.54,-11.19,2.38,4.65,3.86
ejecutada,izquierda,4,-20.88,0.01,-6.5,1.07,-17.1,3.42,-1.87,3.92,-16.89,0.75,7.4,0.25,-15.76,2,10.27,3.74
ejecutada,izquierda,5,-4.15,1.65,17.3,0.01,-1.11,2.95,17.99,3.43,-3.74,1.87,8.55,0.55,-4.2,2.11,11.12,3.47
ejecutada,izquierda,6,-32.02,0.46,-11.64,0,-39.22,2.78,10.92,3.83,-33.99,1.88,-22.1,0,-35.81,2.25,0.6,3.88
ejecutada,izquierda,7,-14.08,0.57,8,0.04,-9.17,2.52,9.05,2.13,-9.41,1.4,4.19,0.08,-12.15,2.75,-0.27,2.03
ejecutada,izquierda,8,-6.62,0.33,20.45,1.86,-14.88,2.53,14.39,2,-5.61,0.02,18.53,1.82,0.19,2.52,21.1,3.1
ejecutada,izquierda,9,-36.71,0.34,-16.38,1.7,-26.71,2.05,13.18,3.65,-31.18,0.31,-20.27,1.61,-24.83,2.06,12.43,3.82
ejecutada,derecha,1,-18.7,1.77,-0.99,0.69,-16.63,2.48,18.05,3.85,-11.73,0.98,4.17,0.47,-10.74,2.16,15.56,3.71
ejecutada,derecha,2,-4.24,0.23,28.79,1.15,12.29,2.79,32.94,3.33,4.35,1.7,23.38,0.64,5.88,2,32.51,3.81
ejecutada,derecha,4,-18.66,1.53,3.36,0.4,-0.09,2.2,14.37,3.38,-9.62,1.24,20.38,0.13,-3.51,2.46,13.69,3.05
ejecutada,derecha,5,-4.27,0.24,12.61,1.38,3.12,2.08,21.37,3.83,5.51,0.81,12.69,1.68,2.68,2.7,13.88,3.84
ejecutada,derecha,6,-28.44,0.36,-12.02,1.61,-39.73,2.87,-10.69,4,-30.94,2,-17.83,0,-32.18,2.04,-4.87,3.97
ejecutada,derecha,7,-10.67,0.28,15.36,1.48,-11.64,2.51,12.51,3.84,3.71,0.07,16.28,0.62,-0.73,3.24,16.69,3.73
ejecutada,derecha,8,2.47,0.29,45.12,1.28,3.33,3.2,31.86,2.22,-4.57,0,19.91,1.97,-4.39,3.11,18.99,2
ejecutada,derecha,9,-9.66,0.4,14.14,1.54,-4.1,2.29,12.58,3.82,-15.69,0.27,5.2,1.93,-2.08,2.05,40.94,2.94
imaginada,izquierda,1,-18.14,2,9.54,0.41,-27.52,3.38,5.08,4,-20.08,1.44,-4.64,0.44,-25.78,2.29,-6.54,2.94
imaginada,izquierda,2,-37.44,0.63,-13.94,1.69,-33.41,3.23,-8.75,4,-25.29,0.04,-14.47,1.05,-25.48,2.23,-7.66,4
imaginada,izquierda,4,-19.41,0.04,5.32,1.79,-17.99,2.68,11,3.18,-12.15,1.04,6.56,0.05,-16.87,2.84,17.67,3.85
imaginada,izquierda,5,-10.01,0.47,-1.34,0,-17.1,2.68,3.62,4,-6.72,0.73,1.84,1.21,-6.36,2.38,6.63,3.97
imaginada,izquierda,6,-47.16,0.59,-30.01,0,-43.8,2,-14.49,4,-32.11,1.4,-19.15,0,-29.71,3.47,-13.22,4
imaginada,izquierda,7,-12.92,1.73,5.02,0,-5.77,3.32,5.59,2.62,-6.6,0.06,5.53,1.54,-9.38,3.31,2.47,3.84
imaginada,izquierda,8,-7.25,1.95,3.03,1.31,-8.7,2.28,3.9,3.26,-0.21,0,14.02,1.36,-3.8,2.81,12.52,3.83
imaginada,izquierda,9,-28.77,0.65,-2.43,0,-23.56,2.04,-1.67,3.69,-29.77,0.33,-17.97,0,-26.19,2,12.71,3.5
imaginada,derecha,1,-25.48,1.45,-2.45,0.2,-25.78,2.11,0.72,4,-10.46,1.97,8,0.4,-13.33,3.51,2.4,4
imaginada,derecha,2,-4,0.85,36.8,2,12.86,3.45,37.81,2.05,-0.88,0.82,14.25,1.37,-9.63,3.28,10.14,2
imaginada,derecha,4,-10.44,0.04,36.19,0.85,8.92,2.81,24.64,3.41,-2.41,0.48,8.08,1.52,0.03,2,14.66,3.57
imaginada,derecha,5,-3.3,1.51,16.07,0.01,-4.84,2.22,22.94,2.81,-7.38,1.81,6.11,0.67,-3.43,3.62,9.46,3.15
imaginada,derecha,6,-39.4,1.12,-10.16,1.86,-35.89,3.3,-6.59,4,-29.27,0.6,-13.9,0,-24.08,3.25,-1.13,4
imaginada,derecha,7,-18.56,0.4,-7.15,1.71,-14.58,2.23,11.25,3.83,-7.06,0.26,11.83,1.76,0.49,2.26,17.56,3.82
imaginada,derecha,8,-1.27,1.96,21.08,0,-9.63,3.35,13.61,3.96,-0.01,0.1,18.23,1.11,-7.33,3.2,20.43,3.87
imaginada,derecha,9,-18.92,0.73,4.76,0,-16.02,2,15.19,3.83,-23.01,1.2,-3.8,0,-15.77,2.25,24.37,3.4
