trialNumber,classNumber,className,startingTime,cueInitTime,trialDuration,cueDuration,finishDuration,fadeInDuration,startingTime(legible)
1,1,IZQUIERDA,1740072270.8035939,1740072276.6001678,1740072286.981491,2.0,1.0,0.24788832664489746,20/02/2025 14:24:30
2,2,DERECHA,1740072288.1810741,1740072293.4801624,1740072303.87376,2.0,1.0,0.25323939323425293,20/02/2025 14:24:48
3,2,DERECHA,1740072305.0710142,1740072310.6700268,1740072321.043413,2.0,1.0,0.26078319549560547,20/02/2025 14:25:05
4,1,IZQUIERDA,1740072322.2444491,1740072327.6006794,1740072337.9837234,2.0,1.0,0.25846004486083984,20/02/2025 14:25:22
5,2,DERECHA,1740072339.1800723,1740072345.2594094,1740072355.6532109,2.0,1.0,0.25483083724975586,20/02/2025 14:25:39
6,2,DERECHA,1740072356.8507774,1740072363.510761,1740072373.9019017,2.0,1.0,0.2560269832611084,20/02/2025 14:25:56
7,1,IZQUIERDA,1740072375.101119,1740072381.319099,1740072391.7049766,2.0,1.0,0.2569754123687744,20/02/2025 14:26:15
8,2,DERECHA,1740072392.8970602,1740072399.2001667,1740072409.574234,2.0,1.0,0.25740814208984375,20/02/2025 14:26:32
9,2,DERECHA,1740072410.7770126,1740072417.0108688,1740072427.3934467,2.0,1.0,0.26125001907348633,20/02/2025 14:26:50
10,1,IZQUIERDA,1740072428.591005,1740072433.7901614,1740072444.1828895,2.0,1.0,0.2571842670440674,20/02/2025 14:27:08
11,2,DERECHA,1740072445.3908331,1740072451.2285585,1740072461.6031826,2.0,1.0,0.25290727615356445,20/02/2025 14:27:25
12,1,IZQUIERDA,1740072462.789041,1740072468.1508887,1740072478.5330443,2.0,1.0,0.2639925479888916,20/02/2025 14:27:42
13,2,DERECHA,1740072479.7295082,1740072484.8107448,1740072495.1844518,2.0,1.0,0.261249303817749,20/02/2025 14:27:59
14,1,IZQUIERDA,1740072496.3905487,1740072502.3701682,1740072512.7446988,2.0,1.0,0.2592189311981201,20/02/2025 14:28:16
15,1,IZQUIERDA,1740072513.9301634,1740072518.731047,1740072529.123179,2.0,1.0,0.25219202041625977,20/02/2025 14:28:33
16,1,IZQUIERDA,1740072530.3201594,1740072536.620357,1740072547.0031872,2.0,1.0,0.26044583320617676,20/02/2025 14:28:50
17,1,IZQUIERDA,1740072548.2001848,1740072553.8057556,1740072564.1838808,2.0,1.0,0.25783324241638184,20/02/2025 14:29:08
18,2,DERECHA,1740072565.3902378,1740072571.1001618,1740072581.5031843,2.0,1.0,0.2567861080169678,20/02/2025 14:29:25
19,1,IZQUIERDA,1740072582.7008276,1740072589.3507566,1740072599.7342632,2.0,1.0,0.2520773410797119,20/02/2025 14:29:42
20,2,DERECHA,1740072600.9304945,1740072606.8411074,1740072617.2131808,2.0,1.0,0.25533604621887207,20/02/2025 14:30:00
