trialNumber,classNumber,className,startingTime,cueInitTime,trialDuration,cueDuration,finishDuration,fadeInDuration,startingTime(legible)
1,1,IZQUIERDA,1740426818.9126854,1740426824.0563285,1740426834.4276502,2.0,1.0,0.2727513313293457,24/02/2025 16:53:38
2,2,DERECHA,1740426835.6163962,1740426841.1459808,1740426851.528784,2.0,1.0,0.24808335304260254,24/02/2025 16:53:55
3,1,IZQUIERDA,1740426852.723966,1740426859.02564,1740426869.3980675,2.0,1.0,0.25600171089172363,24/02/2025 16:54:12
4,1,IZQUIERDA,1740426870.5957663,1740426875.6459079,1740426886.025613,2.0,1.0,0.2561821937561035,24/02/2025 16:54:30
5,2,DERECHA,1740426887.225643,1740426893.8363285,1740426904.2085373,2.0,1.0,0.2548553943634033,24/02/2025 16:54:47
6,1,IZQUIERDA,1740426905.3937979,1740426911.926038,1740426922.3018866,2.0,1.0,0.25362730026245117,24/02/2025 16:55:05
7,2,DERECHA,1740426923.4956424,1740426928.2852008,1740426938.6675556,2.0,1.0,0.26125621795654297,24/02/2025 16:55:23
8,1,IZQUIERDA,1740426939.8656397,1740426946.4165618,1740426956.7879498,2.0,1.0,0.24511933326721191,24/02/2025 16:55:39
9,1,IZQUIERDA,1740426957.98618,1740426964.6456995,1740426975.0276496,2.0,1.0,0.2631053924560547,24/02/2025 16:55:57
10,2,DERECHA,1740426976.2260103,1740426982.9261308,1740426993.301436,2.0,1.0,0.2640964984893799,24/02/2025 16:56:16
11,2,DERECHA,1740426994.4865785,1740426999.6149473,1740427009.997651,2.0,1.0,0.2568635940551758,24/02/2025 16:56:34
12,1,IZQUIERDA,1740427011.1958838,1740427016.8016078,1740427027.1776476,2.0,1.0,0.24853730201721191,24/02/2025 16:56:51
13,2,DERECHA,1740427028.3656425,1740427034.2865076,1740427044.6676521,2.0,1.0,0.26072120666503906,24/02/2025 16:57:08
14,1,IZQUIERDA,1740427045.8656406,1740427051.9561813,1740427062.3320534,2.0,1.0,0.24532508850097656,24/02/2025 16:57:25
15,1,IZQUIERDA,1740427063.5255065,1740427069.2698696,1740427079.647654,2.0,1.0,0.2523078918457031,24/02/2025 16:57:43
16,2,DERECHA,1740427080.8466153,1740427085.8158293,1740427096.197852,2.0,1.0,0.257082462310791,24/02/2025 16:58:00
17,2,DERECHA,1740427097.3966136,1740427103.4561048,1740427113.8376498,2.0,1.0,0.26100635528564453,24/02/2025 16:58:17
18,2,DERECHA,1740427115.0366256,1740427121.5538802,1740427131.9277368,2.0,1.0,0.2599670886993408,24/02/2025 16:58:35
19,1,IZQUIERDA,1740427133.1162908,1740427138.8456426,1740427149.2285137,2.0,1.0,0.2546675205230713,24/02/2025 16:58:53
20,2,DERECHA,1740427150.4256449,1740427156.268644,1740427166.6493862,2.0,1.0,0.24946832656860352,24/02/2025 16:59:10
