trialNumber,classNumber,className,startingTime,cueInitTime,trialTime,cueDuration,finishDuration,trialTime(legible)
1,1,IZQUIERDA,1734634757.0367298,1734634763.4147978,1734634773.8124707,2.0,1.0,19/12/2024 15:59:33
2,2,DERECHA,1734634775.0070722,1734634781.3821833,1734634791.766499,2.0,1.0,19/12/2024 15:59:51
3,1,IZQUIERDA,1734634792.9654737,1734634799.3344975,1734634809.720415,2.0,1.0,19/12/2024 16:00:09
4,2,DERECHA,1734634810.9165962,1734634817.2873192,1734634827.6711378,2.0,1.0,19/12/2024 16:00:27
5,1,IZQUIERDA,1734634828.866614,1734634835.257278,1734634845.64079,2.0,1.0,19/12/2024 16:00:45
6,2,DERECHA,1734634846.8567698,1734634853.226743,1734634863.6046026,2.0,1.0,19/12/2024 16:01:03
7,2,DERECHA,1734634864.8064196,1734634871.176457,1734634881.5574446,2.0,1.0,19/12/2024 16:01:21
8,1,IZQUIERDA,1734634882.755456,1734634889.137137,1734634899.5097728,2.0,1.0,19/12/2024 16:01:39
9,2,DERECHA,1734634900.7083206,1734634907.0865302,1734634917.4656115,2.0,1.0,19/12/2024 16:01:57
10,1,IZQUIERDA,1734634918.6667647,1734634925.0380235,1734634935.4197283,2.0,1.0,19/12/2024 16:02:15
11,2,DERECHA,1734634936.6165757,1734634942.9968665,1734634953.3702369,2.0,1.0,19/12/2024 16:02:33
12,1,IZQUIERDA,1734634954.578173,1734634960.9471154,1734634971.319811,2.0,1.0,19/12/2024 16:02:51
13,2,DERECHA,1734634972.5209255,1734634978.89665,1734634989.278181,2.0,1.0,19/12/2024 16:03:09
14,2,DERECHA,1734634990.4764616,1734634996.8565323,1734635007.2428637,2.0,1.0,19/12/2024 16:03:27
15,1,IZQUIERDA,1734635008.4465,1734635014.8170264,1734635025.1998522,2.0,1.0,19/12/2024 16:03:45
16,1,IZQUIERDA,1734635026.3967652,1734635032.7764823,1734635043.1625488,2.0,1.0,19/12/2024 16:04:03
17,1,IZQUIERDA,1734635044.3511724,1734635050.7264125,1734635061.1194465,2.0,1.0,19/12/2024 16:04:21
18,2,DERECHA,1734635062.3173358,1734635068.698264,1734635079.0702863,2.0,1.0,19/12/2024 16:04:39
19,2,DERECHA,1734635080.2572951,1734635086.6303866,1734635097.0096061,2.0,1.0,19/12/2024 16:04:57
20,1,IZQUIERDA,1734635098.2170215,1734635104.5864213,1734635114.9695952,2.0,1.0,19/12/2024 16:05:14
