trialNumber,classNumber,className,startingTime,cueInitTime,trialTime,cueDuration,finishDuration,trialTime(legible)
1,2,DERECHA,1734635597.7426171,1734635604.1220217,1734635614.5098102,2.0,1.0,19/12/2024 16:13:34
2,2,DERECHA,1734635615.709097,1734635622.0919604,1734635632.4644938,2.0,1.0,19/12/2024 16:13:52
3,1,IZQUIERDA,1734635633.6625047,1734635640.0427105,1734635650.4355583,2.0,1.0,19/12/2024 16:14:10
4,2,DERECHA,1734635651.632403,1734635658.022281,1734635668.3983736,2.0,1.0,19/12/2024 16:14:28
5,1,IZQUIERDA,1734635669.6022801,1734635675.978725,1734635686.3548357,2.0,1.0,19/12/2024 16:14:46
6,1,IZQUIERDA,1734635687.552225,1734635693.931807,1734635704.3201618,2.0,1.0,19/12/2024 16:15:04
7,2,DERECHA,1734635705.5213335,1734635711.9018412,1734635722.3048291,2.0,1.0,19/12/2024 16:15:22
8,1,IZQUIERDA,1734635723.4918303,1734635729.8693168,1734635740.2446358,2.0,1.0,19/12/2024 16:15:40
9,2,DERECHA,1734635741.450967,1734635747.821696,1734635758.2062366,2.0,1.0,19/12/2024 16:15:58
10,1,IZQUIERDA,1734635759.40183,1734635765.7723262,1734635776.1649468,2.0,1.0,19/12/2024 16:16:16
11,1,IZQUIERDA,1734635777.3721235,1734635783.7420874,1734635794.1190033,2.0,1.0,19/12/2024 16:16:34
12,2,DERECHA,1734635795.3216891,1734635801.6924973,1734635812.0749574,2.0,1.0,19/12/2024 16:16:52
13,2,DERECHA,1734635813.2720108,1734635819.6495862,1734635830.0259254,2.0,1.0,19/12/2024 16:17:10
14,1,IZQUIERDA,1734635831.2291625,1734635837.6026974,1734635847.9850576,2.0,1.0,19/12/2024 16:17:27
15,1,IZQUIERDA,1734635849.181685,1734635855.5519717,1734635865.9342628,2.0,1.0,19/12/2024 16:17:45
16,1,IZQUIERDA,1734635867.1322463,1734635873.5090563,1734635883.8857203,2.0,1.0,19/12/2024 16:18:03
17,2,DERECHA,1734635885.0826547,1734635891.4622223,1734635901.8405287,2.0,1.0,19/12/2024 16:18:21
18,2,DERECHA,1734635903.0382805,1734635909.4117556,1734635919.7967644,2.0,1.0,19/12/2024 16:18:39
19,2,DERECHA,1734635920.9931264,1734635927.3670468,1734635937.7450857,2.0,1.0,19/12/2024 16:18:57
20,1,IZQUIERDA,1734635938.9421248,1734635945.3223643,1734635955.6994462,2.0,1.0,19/12/2024 16:19:15
