trialNumber,classNumber,className,startingTime,cueInitTime,trialTime,cueDuration,finishDuration,trialTime(legible)
1,2,DERECHA,1734636690.6469135,1734636697.0212612,1734636707.4003036,2.0,1.0,19/12/2024 16:31:47
2,2,DERECHA,1734636708.6010969,1734636714.9790437,1734636725.3541486,2.0,1.0,19/12/2024 16:32:05
3,2,DERECHA,1734636726.5514326,1734636732.9306135,1734636743.3125205,2.0,1.0,19/12/2024 16:32:23
4,1,IZQUIERDA,1734636744.5067937,1734636750.8819795,1734636761.264383,2.0,1.0,19/12/2024 16:32:41
5,2,DERECHA,1734636762.460013,1734636768.841016,1734636779.2140074,2.0,1.0,19/12/2024 16:32:59
6,1,IZQUIERDA,1734636780.4306266,1734636786.810684,1734636797.1836536,2.0,1.0,19/12/2024 16:33:17
7,1,IZQUIERDA,1734636798.380608,1734636804.7597084,1734636815.1336238,2.0,1.0,19/12/2024 16:33:35
8,1,IZQUIERDA,1734636816.341217,1734636822.7308044,1734636833.1031365,2.0,1.0,19/12/2024 16:33:53
9,2,DERECHA,1734636834.3052065,1734636840.6807487,1734636851.059143,2.0,1.0,19/12/2024 16:34:11
10,1,IZQUIERDA,1734636852.261398,1734636858.6306317,1734636869.0109544,2.0,1.0,19/12/2024 16:34:29
