trialNumber,classNumber,className,startingTime,cueInitTime,trialDuration,cueDuration,finishDuration,fadeInDuration,startingTime(legible)
1,2,DERECHA,1739913697.133127,1739913702.0837827,1739913712.4763892,2.0,1.0,0.32042717933654785,18/02/2025 18:21:37
2,2,DERECHA,1739913713.6735904,1739913718.8932126,1739913729.2760723,2.0,1.0,0.3214080333709717,18/02/2025 18:21:53
3,1,IZQUIERDA,1739913730.4719326,1739913735.3929083,1739913745.7766016,2.0,1.0,0.32093310356140137,18/02/2025 18:22:10
4,1,IZQUIERDA,1739913746.973599,1739913753.03291,1739913763.427493,2.0,1.0,0.3093719482421875,18/02/2025 18:22:26
5,2,DERECHA,1739913764.6311028,1739913769.8004432,1739913780.1765733,2.0,1.0,0.320359468460083,18/02/2025 18:22:44
6,1,IZQUIERDA,1739913781.3831754,1739913786.2832112,1739913796.663674,2.0,1.0,0.3104226589202881,18/02/2025 18:23:01
7,2,DERECHA,1739913797.8637848,1739913804.6012416,1739913814.9772754,2.0,1.0,0.3166344165802002,18/02/2025 18:23:17
8,1,IZQUIERDA,1739913816.173562,1739913822.4238892,1739913832.8075747,2.0,1.0,0.31921935081481934,18/02/2025 18:23:36
9,2,DERECHA,1739913834.0035646,1739913839.971925,1739913850.3559234,2.0,1.0,0.31903672218322754,18/02/2025 18:23:54
10,2,DERECHA,1739913851.5492814,1739913857.5536628,1739913867.926857,2.0,1.0,0.3207225799560547,18/02/2025 18:24:11
11,1,IZQUIERDA,1739913869.1129043,1739913875.1298378,1739913885.5059354,2.0,1.0,0.32189512252807617,18/02/2025 18:24:29
12,1,IZQUIERDA,1739913886.7129073,1739913893.1435745,1739913903.5377908,2.0,1.0,0.31467199325561523,18/02/2025 18:24:46
13,2,DERECHA,1739913904.739144,1739913910.862939,1739913921.2445383,2.0,1.0,0.32930946350097656,18/02/2025 18:25:04
14,1,IZQUIERDA,1739913922.4413064,1739913927.48582,1739913937.8659258,2.0,1.0,0.31020498275756836,18/02/2025 18:25:22
15,2,DERECHA,1739913939.0639155,1739913945.3935094,1739913955.7767966,2.0,1.0,0.32294559478759766,18/02/2025 18:25:39
16,2,DERECHA,1739913956.97315,1739913963.423922,1739913973.8013978,2.0,1.0,0.31291985511779785,18/02/2025 18:25:56
17,1,IZQUIERDA,1739913975.003599,1739913980.5533886,1739913990.9263873,2.0,1.0,0.3201010227203369,18/02/2025 18:26:15
18,1,IZQUIERDA,1739913992.11291,1739913997.7089252,1739914008.0952864,2.0,1.0,0.312000036239624,18/02/2025 18:26:32
19,2,DERECHA,1739914009.2837977,1739914014.8141487,1739914025.2159204,2.0,1.0,0.3231339454650879,18/02/2025 18:26:49
20,1,IZQUIERDA,1739914026.413163,1739914032.461939,1739914042.8355906,2.0,1.0,0.30600786209106445,18/02/2025 18:27:06
